,1. open,2. high,3. low,4. close,5. volume
2023-08-22,2.3400,2.4400,2.2700,2.3900,16849
2023-08-21,2.5300,2.5900,2.3100,2.4300,19471
2023-08-18,2.5500,2.6100,2.5112,2.6100,1921
2023-08-17,2.8700,2.8700,2.6000,2.6000,7633
2023-08-16,2.7200,2.9700,2.6500,2.8100,19087
2023-08-15,2.5900,2.8900,2.5800,2.7800,16521
2023-08-14,2.7699,2.7700,2.6600,2.6600,2896
2023-08-11,2.6700,2.8600,2.6100,2.8600,13882
2023-08-10,2.6400,2.9600,2.6400,2.8000,8965
2023-08-09,2.9400,2.9900,2.5000,2.6200,9656
2023-08-08,3.0500,3.0500,2.9400,2.9400,1888
2023-08-07,2.9700,3.2800,2.9700,3.0400,2130
2023-08-04,3.3600,3.5800,3.1600,3.1600,27029
2023-08-03,3.0300,3.5800,3.0200,3.3100,42041
2023-08-02,3.0750,3.0800,2.9490,3.0700,7039
2023-08-01,3.4100,3.4500,3.1300,3.2400,10802
2023-07-31,3.2000,3.7400,3.2000,3.3900,13157
2023-07-28,3.3700,3.4250,3.1800,3.1800,5664
2023-07-27,3.4900,3.6191,3.3000,3.3300,7050
2023-07-26,3.4100,3.5900,3.2900,3.3900,8299
2023-07-25,3.4800,3.6059,3.2750,3.4000,19049
2023-07-24,3.5600,3.6040,3.3900,3.4350,8696
2023-07-21,3.6500,3.7500,3.4200,3.6200,8391
2023-07-20,3.7800,3.9000,3.5400,3.5400,14363
2023-07-19,3.8500,4.1300,3.5801,3.7800,21343
2023-07-18,3.7900,3.9000,3.6300,3.8300,24428
2023-07-17,3.5100,3.6899,3.3400,3.5500,6921
2023-07-14,3.3500,3.5899,3.3500,3.5200,16599
2023-07-13,3.1950,3.4400,3.1950,3.3400,20671
2023-07-12,3.2000,3.2000,2.9300,3.1100,7443
2023-07-11,2.6800,3.0200,2.6300,2.8700,20764
2023-07-10,2.5500,2.7896,2.5100,2.6800,25447
2023-07-07,2.6000,2.7900,2.4500,2.5850,88634
2023-07-06,2.3500,3.2500,2.3500,2.6000,270594
2023-07-05,2.6100,2.6800,2.3400,2.3500,16185
2023-07-03,2.7100,2.9000,2.6200,2.6500,9109
2023-06-30,2.8700,2.9000,2.6400,2.6700,33602
2023-06-29,2.9400,2.9850,2.7700,2.8400,37084
2023-06-28,2.7600,2.9100,2.5900,2.8200,27329
2023-06-27,2.9000,3.0820,2.7100,2.7100,38156
2023-06-26,3.0400,3.2100,2.8300,2.8400,37653
2023-06-23,2.9600,3.2000,2.8400,3.0100,804010
2023-06-22,3.0800,3.1500,2.8601,3.0950,54678
2023-06-21,3.4400,3.6200,2.9500,3.1300,64037
2023-06-20,3.7400,3.9100,3.3700,3.5100,28635
2023-06-16,3.8900,3.8900,3.5900,3.8100,52009
2023-06-15,3.9400,3.9600,3.7900,3.8500,19165
2023-06-14,3.9800,4.0342,3.7700,3.9000,22022
2023-06-13,3.8900,4.0200,3.7200,3.9100,34169
2023-06-12,3.9200,4.0900,3.7100,3.9800,29712
2023-06-09,3.8000,4.0350,3.7100,3.8900,27616
2023-06-08,3.6200,3.8800,3.4000,3.8250,46548
2023-06-07,3.7900,3.9400,3.3200,3.7000,72851
2023-06-06,3.8600,4.0900,3.8418,3.9000,51070
2023-06-05,3.9900,3.9900,3.8000,3.9200,30299
2023-06-02,4.0100,4.0100,3.8100,3.9300,31909
