,1. open,2. high,3. low,4. close,5. volume
2024-05-15,1.1400,1.1500,1.0501,1.1300,8024
2024-05-14,1.1500,1.1500,1.1000,1.1300,13333
2024-05-13,1.0900,1.1500,1.0900,1.1101,17988
2024-05-10,1.1293,1.1300,1.0900,1.0920,5912
2024-05-09,1.1129,1.1500,1.0901,1.1500,8996
2024-05-08,1.1600,1.1600,1.0600,1.1500,7111
2024-05-07,1.0900,1.1000,1.0633,1.0900,5002
2024-05-06,1.0900,1.1200,1.0600,1.0800,7584
2024-05-03,1.0900,1.1400,1.0600,1.0800,19858
2024-05-02,1.0950,1.1000,1.0950,1.0985,1603
2024-05-01,1.0500,1.1500,1.0400,1.1400,12115
2024-04-30,1.1499,1.2400,1.0300,1.1168,28052
2024-04-29,1.1200,1.1700,1.1200,1.1535,2557
2024-04-26,1.1800,1.2100,1.1182,1.1700,3713
2024-04-25,1.1221,1.1600,1.1112,1.1600,673
2024-04-24,1.1100,1.1300,1.1100,1.1234,1209
2024-04-23,1.1665,1.1700,1.1665,1.1700,853
2024-04-22,1.1200,1.1700,1.0900,1.1700,11640
2024-04-19,1.1350,1.1700,1.1032,1.1700,3596
2024-04-18,1.1666,1.1800,1.1300,1.1300,2956
2024-04-17,1.2000,1.2100,1.1200,1.1600,10809
2024-04-16,1.2000,1.2100,1.1772,1.2000,5694
2024-04-15,1.2299,1.2299,1.1700,1.1700,8506
2024-04-12,1.2200,1.2400,1.2041,1.2041,4804
2024-04-11,1.1700,1.2300,1.1700,1.2100,22371
2024-04-10,1.2400,1.2400,1.1900,1.2200,2936
2024-04-09,1.2200,1.2400,1.1900,1.2400,2943
2024-04-08,1.2000,1.2500,1.1801,1.2400,17895
2024-04-05,1.2500,1.2999,1.1700,1.2200,45172
2024-04-04,1.1965,1.3199,1.1700,1.2100,49884
2024-04-03,1.1100,1.2100,1.1100,1.1700,5180
2024-04-02,1.1500,1.1900,1.0600,1.1108,6200
2024-04-01,1.1000,1.1600,1.0100,1.1600,10484
2024-03-28,1.1600,1.1998,1.1550,1.1800,6795
2024-03-27,1.2100,1.3000,1.1700,1.1700,18229
2024-03-26,1.2400,1.2690,1.2000,1.2001,23287
2024-03-25,1.2900,1.2900,1.1700,1.2000,4698
2024-03-22,1.1693,1.2500,1.1693,1.1800,2460
2024-03-21,1.2500,1.2500,1.2001,1.2200,3659
2024-03-20,1.2370,1.2900,1.2000,1.2500,18018
2024-03-19,1.1626,1.2350,1.1600,1.2200,7580
2024-03-18,1.2600,1.2948,1.1100,1.1100,68626
2024-03-15,1.2400,1.2700,1.1900,1.2210,49977
2024-03-14,1.2100,1.2500,1.1555,1.1900,13237
2024-03-13,1.1900,1.2700,1.1750,1.2300,27318
2024-03-12,1.1200,1.2296,1.1100,1.1900,34714
2024-03-11,1.1000,1.1800,1.1000,1.1700,32873
2024-03-08,1.0900,1.2314,1.0900,1.1800,107657
2024-03-07,1.1100,1.2000,1.0800,1.1100,19787
2024-03-06,1.1300,1.1900,1.0400,1.1400,45101
2024-03-05,1.0593,1.1399,1.0200,1.0500,28900
2024-03-04,1.0600,1.1200,1.0300,1.0700,18066
2024-03-01,1.1000,1.2100,1.0420,1.1000,40417
2024-02-29,1.1702,1.2200,1.0800,1.0800,40486
2024-02-28,1.2420,1.3399,1.1700,1.1700,95574
2024-02-27,1.3500,1.3900,1.1000,1.2200,128305
2024-02-26,1.3900,1.4699,1.3200,1.3900,44079
2024-02-23,1.4000,1.5400,1.3300,1.4100,258351
2024-02-22,1.1500,1.5844,1.1500,1.5100,697089
2024-02-21,1.1950,1.2300,1.1600,1.2100,7199
2024-02-20,1.2800,1.3180,1.1640,1.2300,50756
2024-02-16,1.2500,1.3600,1.1600,1.2800,47432
2024-02-15,1.1704,1.3900,1.1400,1.2791,132923
2024-02-14,1.1101,1.1500,1.1000,1.1500,5622
2024-02-13,1.1000,1.1500,1.0855,1.1500,26453
2024-02-12,1.0600,1.1400,1.0000,1.1100,75380
2024-02-09,1.0231,1.0500,1.0201,1.0500,1905
2024-02-08,1.0521,1.0600,1.0101,1.0600,10832
2024-02-07,1.0300,1.0696,1.0300,1.0400,11426
2024-02-06,1.0000,1.0700,1.0000,1.0300,6185
2024-02-05,1.0400,1.0500,1.0000,1.0000,5436
2024-02-02,1.0505,1.0505,1.0000,1.0000,2166
2024-02-01,1.0164,1.0300,1.0100,1.0100,1207
2024-01-31,1.0454,1.0900,1.0100,1.0100,10294
2024-01-30,0.9900,1.0250,0.9801,1.0100,5959
2024-01-29,1.0000,1.0800,0.9999,1.0100,23074
2024-01-26,1.0800,1.0900,0.9950,1.0200,14393
2024-01-25,1.0450,1.0700,1.0100,1.0300,6332
2024-01-24,1.0700,1.1290,0.9800,1.0700,18241
2024-01-23,1.0500,1.0500,0.9906,1.0200,10412
2024-01-22,1.0766,1.0798,1.0600,1.0700,6242
2024-01-19,1.1400,1.1400,1.0400,1.0500,11677
2024-01-18,1.0700,1.1400,1.0700,1.1001,4242
2024-01-17,1.1300,1.1300,1.1300,1.1300,470
2024-01-16,1.1100,1.1750,1.1100,1.1315,18698
2024-01-12,1.1500,1.1550,1.1101,1.1250,4318
2024-01-11,1.1200,1.1600,1.1000,1.1600,6540
2024-01-10,1.1300,1.1750,1.1200,1.1200,3420
2024-01-09,1.1200,1.1300,1.1200,1.1300,2961
