,1. open,2. high,3. low,4. close,5. volume
2024-10-07,24.7232,24.7232,24.7232,24.7232,54
2024-10-04,24.8814,24.8814,24.8814,24.8814,5
2024-10-03,24.7535,24.7535,24.7535,24.7535,9
2024-10-02,24.8478,24.8478,24.8478,24.8478,11
2024-10-01,24.9400,24.9400,24.9400,24.9400,50
2024-09-30,25.3303,25.3303,25.3303,25.3303,19
2024-09-27,25.4759,25.4759,25.4759,25.4759,27
2024-09-26,25.1900,25.1900,25.1900,25.1900,118
2024-09-25,25.1700,25.1700,25.0978,25.0978,122
2024-09-24,25.4041,25.4041,25.4041,25.4041,142
2024-09-23,25.3400,25.3400,25.3400,25.3400,20
2024-09-20,25.0000,25.0150,24.9952,25.0100,1240
2024-09-19,25.4850,25.4850,25.3541,25.3541,354
2024-09-18,25.1900,25.1900,25.0300,25.0300,434
2024-09-17,25.2296,25.2296,25.2296,25.2296,147
2024-09-16,25.4900,25.4900,25.0800,25.1293,352
2024-09-13,25.0400,25.0800,25.0400,25.0800,217
2024-09-12,24.8458,24.8458,24.8458,24.8458,12
2024-09-11,24.8748,24.8748,24.8748,24.8748,24
2024-09-10,24.2181,24.2181,24.2181,24.2181,17
2024-09-09,23.9963,23.9963,23.9963,23.9963,51
2024-09-06,24.0684,24.0684,24.0684,24.0684,31
2024-09-05,24.5907,24.5907,24.5907,24.5907,97
2024-09-04,24.6100,24.7799,24.6100,24.7074,366
2024-09-03,25.2600,25.2600,24.4991,24.4991,192
2024-08-30,25.3872,25.3872,25.3872,25.3872,54
2024-08-29,25.1072,25.1072,25.1072,25.1072,84
2024-08-28,25.0540,25.0540,25.0540,25.0540,55
2024-08-27,25.3852,25.3852,25.3852,25.3852,32
2024-08-26,25.5340,25.5340,25.5340,25.5340,47
2024-08-23,25.5341,25.5341,25.5341,25.5341,13
2024-08-22,24.7502,24.7502,24.7502,24.7502,130
2024-08-21,24.9666,24.9666,24.9666,24.9666,83
2024-08-20,24.6469,24.6469,24.6469,24.6469,6
2024-08-19,24.9274,24.9274,24.9274,24.9274,44
2024-08-16,24.5861,24.5861,24.5861,24.5861,48
2024-08-15,24.6744,24.6744,24.6744,24.6744,24
