,1. open,2. high,3. low,4. close,5. volume
2024-11-11,184.7000,184.8600,183.9100,184.2500,1005623
2024-11-08,184.0500,185.0100,183.9253,184.4200,1784407
2024-11-07,182.7300,184.2500,182.7300,183.9800,1169590
2024-11-06,182.3100,182.4900,180.5400,182.2600,1038650
2024-11-05,177.1300,178.6900,177.0100,178.6900,828545
2024-11-04,177.0300,177.7500,176.4400,176.8900,820471
2024-11-01,177.0400,178.1199,176.6400,177.0850,765603
2024-10-31,178.8700,178.8700,176.4200,176.4200,1933215
2024-10-30,179.7300,180.6900,179.0550,179.6200,795964
2024-10-29,179.8500,180.9500,179.2834,180.5500,697241
2024-10-28,180.6000,180.7100,179.9900,180.0900,566145
2024-10-25,180.6700,181.4300,179.6100,179.7600,578511
2024-10-24,180.2300,180.2800,179.1600,179.7200,708796
2024-10-23,180.8100,180.9900,178.7900,179.8500,711547
2024-10-22,181.1700,181.8599,180.8700,181.3800,654966
2024-10-21,182.0500,182.4500,181.2134,181.9700,717273
2024-10-18,182.3500,182.5899,181.9800,182.4200,558195
2024-10-17,183.0500,183.0850,181.6100,181.6100,763470
2024-10-16,181.1100,182.0200,180.5700,181.9100,836110
2024-10-15,182.8700,182.9900,180.5800,180.9400,673296
2024-10-14,181.9900,183.4300,181.8700,183.1900,511314
2024-10-11,180.3450,181.6400,180.3450,181.4300,840616
2024-10-10,180.2000,180.6200,179.6800,180.2600,757274
2024-10-09,179.4700,180.7500,179.3900,180.5500,1034566
2024-10-08,178.2500,179.5700,178.2500,179.3800,891907
2024-10-07,178.6900,178.9100,177.3200,177.5900,1077242
2024-10-04,179.4100,179.5700,177.8900,179.2100,744957
2024-10-03,177.9500,178.8500,177.6300,178.3600,802753
2024-10-02,177.7300,178.6700,176.9800,178.4400,725241
2024-10-01,179.1900,179.4700,177.2300,178.1400,1619569
2024-09-30,178.3000,179.3900,177.5400,179.3000,1017298
2024-09-27,179.3900,179.6400,178.4100,178.6900,916768
2024-09-26,179.6700,180.0000,178.3300,179.0900,789909
2024-09-25,178.5000,178.8400,177.8900,178.2800,1260694
2024-09-24,179.4200,179.4200,178.1900,179.0900,673049
2024-09-23,178.7500,179.2300,178.4300,179.0300,634405
2024-09-20,178.8200,178.8468,177.8700,178.4000,670699
2024-09-19,179.0700,179.6609,178.5450,178.9800,777332
2024-09-18,177.3000,178.6100,176.1900,176.3700,1093526
2024-09-17,177.8200,178.0600,176.4900,177.1400,731052
2024-09-16,176.7600,177.2400,176.1100,177.1600,620836
2024-09-13,176.2900,177.2600,175.9300,176.8200,589843
2024-09-12,175.2100,176.1300,174.1500,176.0600,793446
2024-09-11,173.0500,175.0500,170.2400,174.7900,1938881
2024-09-10,172.9100,173.1800,171.5300,172.9900,1145785
2024-09-09,171.8800,172.9900,171.5100,172.5600,865258
2024-09-06,173.0500,173.5750,170.2941,170.6600,1176714
2024-09-05,173.5500,173.8450,171.9100,172.7100,2281343
2024-09-04,173.2200,174.5500,173.1800,173.7200,713087
2024-09-03,177.0200,177.0200,173.1800,173.9500,1037940
2024-08-30,177.0900,177.8900,175.7000,177.7800,655295
2024-08-29,177.0100,178.1401,176.1100,176.4200,1046449
2024-08-28,177.7300,177.7800,175.3800,176.4000,668289
2024-08-27,176.4700,177.8690,176.4050,177.7600,561977
2024-08-26,177.5700,177.9300,176.6700,177.1200,829254
2024-08-23,176.8200,177.7100,175.9300,177.3800,674656
2024-08-22,177.3600,177.7550,175.3900,175.7700,694982
