,1. open,2. high,3. low,4. close,5. volume
2024-09-10,1.6100,1.6300,1.5900,1.5900,259592
2024-09-09,1.6500,1.6700,1.6100,1.6200,171489
2024-09-06,1.6680,1.6680,1.6200,1.6400,324820
2024-09-05,1.6600,1.6600,1.6300,1.6400,176881
2024-09-04,1.6500,1.6850,1.6400,1.6500,291552
2024-09-03,1.7200,1.7200,1.6350,1.6700,255230
2024-08-30,1.6800,1.6990,1.6800,1.6800,153118
2024-08-29,1.6600,1.7150,1.6600,1.7100,120741
2024-08-28,1.7000,1.7600,1.6700,1.6700,305237
2024-08-27,1.6400,1.7300,1.6300,1.7200,829096
2024-08-26,1.6200,1.6800,1.6100,1.6400,512632
2024-08-23,1.6400,1.6600,1.6100,1.6100,364777
2024-08-22,1.6500,1.6700,1.6200,1.6200,309741
2024-08-21,1.6900,1.7100,1.6450,1.6500,340074
2024-08-20,1.6500,1.7200,1.6500,1.6800,297425
2024-08-19,1.7000,1.7300,1.6500,1.6600,619222
2024-08-16,1.6800,1.7200,1.6800,1.6900,167551
2024-08-15,1.6800,1.7200,1.6700,1.6900,172123
2024-08-14,1.7000,1.7100,1.6600,1.6600,338079
2024-08-13,1.7000,1.7400,1.6900,1.7000,147480
2024-08-12,1.7300,1.7450,1.6800,1.7000,194303
2024-08-09,1.7200,1.7300,1.6700,1.7200,256279
2024-08-08,1.7300,1.7900,1.7300,1.7300,204005
2024-08-07,1.8000,1.8400,1.7200,1.7200,106608
2024-08-06,1.7800,1.8600,1.7600,1.7800,354993
2024-08-05,1.8000,1.8500,1.7520,1.7700,382705
2024-08-02,1.8600,1.9500,1.8400,1.8400,323615
2024-08-01,1.9900,2.0050,1.9500,1.9600,240525
2024-07-31,1.9600,2.0800,1.9600,1.9800,313792
2024-07-30,2.0000,2.0500,1.9700,1.9700,344076
2024-07-29,2.0600,2.0800,1.9700,1.9800,264510
2024-07-26,2.1000,2.1240,2.0500,2.0700,375599
2024-07-25,2.0300,2.1350,2.0000,2.0600,1023034
2024-07-24,2.0200,2.1450,2.0150,2.0400,321225
2024-07-23,1.8200,2.0166,1.8200,2.0000,1246726
2024-07-22,1.7800,1.8800,1.7800,1.8300,307795
2024-07-19,1.8300,1.8450,1.7900,1.8000,203192
2024-07-18,1.8600,1.8750,1.7900,1.8000,353308
2024-07-17,1.9000,1.9650,1.8250,1.8600,502769
