Date,open,high,low,close,volume,symbol
2023-03-20,4.54,4.61,4.01,4.04,691419,SEER
2023-03-17,4.7,4.72,4.38,4.49,694985,SEER
2023-03-16,4.53,4.93,4.42,4.73,451648,SEER
2023-03-15,4.36,4.64,4.27,4.58,528491,SEER
2023-03-14,4.67,4.7,4.37,4.51,379367,SEER
2023-03-13,4.23,4.51,4.11,4.47,342329,SEER
2023-03-10,4.51,4.57,4.22,4.33,336490,SEER
2023-03-09,4.71,4.79,4.48,4.49,235513,SEER
2023-03-08,4.73,4.79,4.4701,4.66,337749,SEER
2023-03-07,4.98,4.99,4.54,4.725,532718,SEER
2023-03-06,5.42,5.48,4.87,4.99,783759,SEER
2023-03-03,4.21,6.18,4.15,5.45,3145680,SEER
2023-03-02,3.91,4.27,3.72,4.21,409487,SEER
2023-03-01,4.11,4.11,3.84,3.91,318099,SEER
2023-02-28,3.9,4.3,3.88,4.09,457487,SEER
2023-02-27,3.8,4.02,3.665,3.91,878329,SEER
2023-02-24,3.82,3.86,3.6,3.72,371594,SEER
2023-02-23,3.99,4.13,3.89,3.93,449406,SEER
2023-02-22,3.94,4.01,3.84,3.97,509947,SEER
2023-02-21,4.14,4.28,3.93,3.94,670603,SEER
2023-02-17,4.47,4.47,4.15,4.44,431479,SEER
2023-02-16,4.53,4.61,4.39,4.41,337798,SEER
2023-02-15,4.49,4.7,4.44,4.59,329271,SEER
2023-02-14,4.67,4.69,4.45,4.55,289521,SEER
2023-02-13,4.66,4.71,4.58,4.7,269743,SEER
2023-02-10,4.55,4.67,4.46,4.64,183618,SEER
2023-02-09,4.75,4.76,4.5,4.57,279435,SEER
2023-02-08,4.73,4.9,4.61,4.75,207161,SEER
2023-02-07,4.67,4.83,4.45,4.78,514709,SEER
2023-02-06,5.4,5.405,4.61,4.71,613840,SEER
2023-02-03,5.31,5.73,5.25,5.51,543251,SEER
2023-02-02,4.97,5.63,4.97,5.455,530970,SEER
2023-02-01,4.54,4.94,4.43,4.82,366502,SEER
2023-01-31,4.56,4.84,4.51,4.55,288304,SEER
2023-01-30,5.01,5.07,4.51,4.56,463002,SEER
2023-01-27,4.92,5.16,4.87,5.07,150142,SEER
2023-01-26,5.07,5.14,4.85,4.93,174603,SEER
2023-01-25,4.93,4.98,4.74,4.97,180811,SEER
2023-01-24,5.09,5.29,4.93,4.98,335525,SEER
2023-01-23,5.13,5.13,4.91,5.12,376588,SEER
2023-01-20,5.25,5.365,5.08,5.11,287282,SEER
2023-01-19,5.3,5.34,5.13,5.24,341209,SEER
2023-01-18,5.51,5.65,5.21,5.36,261627,SEER
2023-01-17,5.12,5.5,5.03,5.44,301484,SEER
2023-01-13,5.54,5.6591,5.1,5.2,270137,SEER
2023-01-12,5.83,5.91,5.46,5.61,210384,SEER
2023-01-11,5.66,5.99,5.52,5.88,240602,SEER
2023-01-10,4.97,5.71,4.86,5.67,361860,SEER
2023-01-09,4.65,5.205,4.605,5.04,437007,SEER
2023-01-06,4.32,4.665,4.12,4.6,429637,SEER
2023-01-05,4.53,4.56,3.92,4.24,1096521,SEER
2023-01-04,5.52,5.82,4.51,4.56,787073,SEER
2023-01-03,5.93,6.07,5.62,5.85,287070,SEER
2022-12-30,5.57,5.858,5.51,5.8,236257,SEER
2022-12-29,5.09,5.68,5.0,5.68,290997,SEER
2022-12-28,5.1,5.21,4.86,5.03,248193,SEER
2022-12-27,5.64,5.64,5.06,5.07,241963,SEER
2022-12-23,5.59,5.74,5.48,5.65,297127,SEER
2022-12-22,5.42,5.69,5.26,5.68,346523,SEER
2022-12-21,5.51,5.72,5.41,5.5,265301,SEER
2022-12-20,5.45,5.78,5.42,5.44,535647,SEER
2022-12-19,6.26,6.44,5.29,5.52,625534,SEER
2022-12-16,6.245,6.75,6.23,6.26,1102807,SEER
2022-12-15,6.19,6.41,6.01,6.32,434122,SEER
2022-12-14,6.26,6.53,6.16,6.24,488029,SEER
2022-12-13,6.73,6.75,6.12,6.2,317977,SEER
2022-12-12,6.07,6.51,6.07,6.3,325134,SEER
2022-12-09,6.39,6.52,6.05,6.06,226699,SEER
2022-12-08,6.54,6.66,6.17,6.51,280858,SEER
2022-12-07,6.57,6.785,6.44,6.47,217943,SEER
2022-12-06,6.78,6.78,6.5,6.68,191328,SEER
